"FITC-A","Texas Red-A"
55.76,156.62
231434,232705
17207.7,35129.6
104983,109671
1057.8,3918.78
8951.94,12744.4
118.08,279.62
125.46,7956.46
100.86,264.04
2027.86,2990.54
127.1,583.02
9062.64,21370
145.96,332.1
209.92,419.84
173.84,2974.14
97.58,227.96
13600.5,54314.3
17559.5,44990.1
296.84,217.3
72.16,273.88
90233.6,93109.4
117.26,336.2
115.62,178.76
337.84,6830.6
59313.1,36653.2
86.92,198.44
224.68,282.9
1065.18,5945.82
1401.38,607.62
3285.74,38758.9
885.6,8479.62
43.46,195.16
566.62,597.78
78.72,186.14
93.48,232.06
109.88,173.84
63.96,323.08
57.4,226.32
297.66,3804.8
73.8,178.76
100.86,169.74
150.06,351.78
104.96,167.28
63.14,255.84
79.54,231.24
456.74,3319.36
103.32,3875.32
72.98,219.76
4321.4,7917.1
157608,148720
64137.9,59030.2
54.94,232.06
405.08,2203.34
51811.7,54284
185639,179429
4423.08,14114.7
78.72,205
60976.8,62978.5
184115,174472
134.48,477.24
156241,167445
25486.4,10335.3
2113.96,3522.72
151191,172811
36770.4,35567.5
4073.76,20819.8
9.84,101.68
1989.32,35742.2
1235.74,10765.8
70.52,249.28
312.42,224.68
77.9,247.64
4838.82,14924
151.7,391.14
121713,111868
100.04,201.72
77.08,8231.16
27983.3,22904.2
460.84,15856.3
66.42,6430.44
162.36,3248.02
26911.6,26322.8
85.28,233.7
1948.32,14100.7
115465,124862
134.48,269.78
187.78,3289.84
83.64,182.86
78654.4,82094.3
48407.1,60137.2
182669,184586
68.88,192.7
631.4,6591.98
8979,6431.26
127.92,185.32
1129.96,22460.6
2040.16,10087.6
1776.12,20586.1
86.1,1056.98
146.78,410
9385.72,17147.8
108.24,245.18
118.9,607.62
54.94,305.04
106.6,185.32
168.92,334.56
3175.86,22980.5
62601.3,35648.7
1129.14,17792.4
66.42,126.28
62.32,188.6
114.8,191.06
2237.78,5942.54
54219.2,59131.8
134.48,319.8
35513.4,31506
79.54,7220.1
86.1,201.72
34916.4,33834
126.28,303.4
2095.92,29408.5
108804,79900
59.04,237.8
3005.3,20978.9
262143,262143
31893.1,60929.3
-4.92,67.24
28620.5,34312.1
782.28,1703.14
37.72,196.8
654.36,664.2
1280.02,1274.28
1516.18,34167.8
24968.2,26233.4
70.52,258.3
3463.68,12008.1
71106.3,72916
79704.8,69510.6
121572,79031.6
3515.34,1243.94
230.42,4511.64
69.7,150.88
23767.7,16778.8
144.32,3359.54
128917,134430
98.4,223.86
4145.92,25502
223284,250979
17.22,87.74
420.66,918.4
65846,76579
2171.36,20428.7
111.52,232.88
1846.64,30440
17758.7,45177.9
77.08,295.2
287,564.16
1097.16,1248.04
94653.4,97216.7
1684.28,7072.5
53.3,159.9
1857.3,30894.3
247.64,328.82
1947.5,46828.6
57.4,181.22
71321.1,95676
60.68,196.8
4372.24,27581.5
186.14,410
141.04,355.88
95703.8,89493.2
93.48,9325.04
97.58,313.24
505.94,861
132.02,210.74
68.88,202.54
506.76,14253.2
27665.2,22568
218.94,291.92
208684,220245
1125.04,19749.7
95.94,242.72
21769.4,71495.8
13719.4,17485.7
