"GFP-A","mCherry-A"
681.318,5981.9
945.715,4984.17
747.52,27038.8
2553.14,25421.4
17893.3,73337.3
618.368,3946.5
965.197,42831
832.64,43738.4
757.094,28549.4
9715.74,27503.3
1436.06,947.251
1313.43,9519.26
3295.95,11436.8
751.462,3593.29
5142.2,3518.39
1972.94,8582.53
6194.46,28369
709.683,8753.84
1978.09,4929.61
999.859,6574.16
2854.68,33666.9
801.075,58590.6
665.984,37712.6
52611.3,99567.2
13953,38013.5
5856.08,29771.9
4762.09,62440.7
4272.36,19032.1
4900.12,22992.7
849.92,25402.4
707.866,474.957
16002,91994.1
1329.15,2375.12
869.555,1102.13
693.76,3648.95
3106.12,25443.2
3411.38,21836.8
18605.5,57931.9
3891.1,26456.1
1643.19,18032.9
1559.78,476.518
9010.74,31719.9
5917.88,62025.9
26427.2,86330.1
1337.96,3628.85
6179.4,11634.7
824.243,18319.7
2174.98,22719.6
1287.73,1509.73
3553.23,769.28
797.184,9220.07
899.686,925.21
1604.68,45147.7
1111.91,10868.8
9809.59,1225.16
4009.27,41828.6
1381.53,21071.3
681.011,31218
2151.71,6090.55
779.648,20806.9
770.022,4416.74
2729.45,34828.2
755.866,2868.07
1237.73,44473.9
2456.86,21125.6
868.608,31053.3
7259.96,34541.7
18751.7,54884.5
3888.31,65781.6
771.584,66498.3
1076.92,19986
7782.32,50887.4
905.216,18756.8
2590.77,77091.3
1056.64,7213.62
7564.6,8597.22
796.518,11234
974.387,20391.7
1048.27,15398.1
1404.34,9808.49
750.976,917.914
5605.38,26368.5
1126.09,7978.44
1389.67,23009.4
2125.59,5488.23
4147.51,43999
2163.56,73295.4
2688.08,28196.8
2012.06,13128.3
2979.87,12550.1
1006.8,4451.51
2687.36,51578.1
737.178,536.96
727.834,2352.26
1551.16,36848.9
915.328,13887.7
1604.68,4164.84
758.861,2592.59
715.29,4145.43
1748.74,65962.9
5218.33,7411.56
1591.27,21940.6
6005.63,43744.1
749.568,29268.4
614.323,3007.49
639.565,24135.6
827.827,22435.1
1644.83,38669.3
1590.86,26770.9
5680.31,17506.7
1363.81,54849.5
9431.27,77094.6
6481.46,31573.9
1758.62,26486.7
824.115,63437.2
29870.6,68953.9
1069.08,2875.93
617.856,4702.18
687.181,17434.8
1778.84,40208
852.71,693.325
6616.14,89542.8
23426.2,72179.2
716.877,1297.56
20513,38070.1
1815.22,5030.12
5573.99,65902
1967.59,81502.9
1348.56,8542.82
1134.67,4876.49
1054.62,60610.5
2816.2,34502.2
945.203,5396.68
944.205,35227.5
2253.88,3007.08
1744.49,11677.5
16080.1,27802.4
675.174,3929.6
1217.79,6456.99
1567.18,42566.9
663.654,22190.1
1532.67,39667.7
1505.56,31194.3
6908.67,29115.7
630.426,590.029
650.163,2054.99
651.776,1001.11
13269.3,45661.1
654.669,9519.87
758.4,5343.16
3118.72,69627.2
822.989,7376.08
674.278,40514.2
1527.76,10950.5
1234.18,22224.8
9161.8,21226
918.477,20835.8
952.909,57267.7
655.053,8589.93
4871.86,26144.7
6058.14,57694.9
1365.45,56914.1
795.034,28441.7
1249.31,9215.54
634.01,32257.6
1832.37,8115.4
1996.11,42798.8
1534.62,8565.61
2893.9,4794.24
5448.65,45876.2
749.926,3835.96
2980.07,16226.6
29099.2,90177.6
1811.94,6737.89
747.11,28757.3
6867.89,33552.9
15381.6,79507
4738.46,48649.6
1717.86,33217.5
810.163,5104.87
7202.05,17024.4
739.507,9482.39
1031.27,3625.57
849.92,34945.7
1594.57,17996.2
2841.42,13008
730.496,17936.1
19147,77413.7
1101.72,5730.66
633.216,19804.2
1128.01,13651.9
666.624,9955.53
2254.11,41762.5
2509.49,9624.06
646.528,2254.49
935.296,5401.11
7132.34,32662.3
1621.56,16288.1
6813.11,1605.79
4851.81,30481.7
1598.67,7350.25
