"GFP-A","mCherry-A"
2109.88,2145.2
9317.5,11060.8
624.154,662.528
2197.91,4425.63
1373.54,1832.91
10007.9,10329.9
10279.8,8801.13
3123.89,3476.1
806.81,2215.19
798.566,2085.91
15996.3,21748.3
880.845,1070.67
2101.22,2962.23
2827.72,6762.52
1443.02,1819.6
16210.4,22329.9
1299.64,1805.8
6161.41,7957.15
8836.43,9263.69
773.606,962.586
16013.8,19135.4
1999.46,2722.82
873.856,2182.73
4401,3524.68
2689.15,3407
1684.53,3569.79
2115.97,2089.19
1298.12,3158.5
3694.54,4313.65
945.613,1930.16
1402.52,1460.28
6787.94,8391.76
1018.62,2735.41
32080.8,36627.8
17739,23832.1
3744.2,4393.34
687.411,1787.96
3756.98,4400.33
797.594,1457.69
1428.43,1957.76
632.96,2514.25
738.816,1514.34
2494.26,7078.4
680.243,1952.72
1038.82,1126.07
1625.29,5628.65
910.157,2443.75
3723.75,9510.78
4444.95,5661.98
1289.88,1494.53
696.602,2844.6
1900.36,2480.13
646.554,2324.71
2391.32,2377.96
22890.2,18981.2
893.184,907.674
4248.12,5095.19
2534.68,2862.72
3635.94,2614.71
1048.42,1394.66
1312.28,1460.99
1249.23,3557.07
781.414,882.074
1608.45,2066.82
6983.24,7566.64
619.494,748.16
2876.7,3635.28
1441.25,4160.05
997.018,1004.34
2033.15,2156.11
3871.77,4563.56
857.779,2463
910.413,914.33
1846.25,2929.25
4184.7,5994.16
3881.4,4041.96
1635.61,3195.21
1711.33,2474.62
803.738,1011.58
692.736,907.187
2249.55,2232.22
1645.9,1872.46
618.214,569.318
904.218,2348.93
1071.18,3218.51
3683.79,3902.62
4828.29,5581.59
1220.43,4008.37
1083.6,1243.32
4531.33,9042.76
3415.09,4023.65
876.979,1311.08
1647.23,4209.97
671.59,1962.19
7429.66,7437.36
791.168,2057.04
1193.96,1175.83
12055,12107.2
4004.97,4607.62
1127.91,2143.69
3567.26,4145.64
671.642,786.995
13408.8,12899.2
2437.89,6716.39
4386.35,12345.4
1476.92,1223.22
648.576,1003.72
1921.97,2025.78
2208.84,1951.49
917.427,743.45
9702.4,9911.14
1976.22,5445.79
1943.63,2644.4
7880.81,10349.5
1733.66,2101.94
1677,1605.48
837.094,1969.56
2312.5,6208.1
623.36,1660.13
966.605,1048.93
1477.02,2790.48
785.152,952.064
1627.06,3951.56
2519.07,3341.9
8154.67,7379.12
956.8,2735.69
4011.21,4730.16
1199.26,1382.25
1381.38,3278.67
965.043,3362.15
883.43,758.272
2553.8,3609.68
2076.42,2176.1
2762.01,2728.7
944.23,1042.64
3133.34,3379.87
1369.96,3205.12
4624.84,4872.65
1634.64,2144.77
1496.81,1886.52
614.349,1482.91
5445.73,6500.02
668.134,736.512
878.797,825.958
1859.25,3092.12
1463.78,1685.45
3448.96,3158.25
920.115,1061.27
807.373,1257.83
3182.21,3767.88
881.05,1892.1
717.312,1533.88
847.923,1735.83
2147.76,2707.51
822.144,1031.88
2403.05,3456.84
1072.23,2093.67
8320.54,11650.8
1537.43,3820.36
774.067,1986.56
1680.67,2147.81
3788.72,10020.9
699.213,622.336
1530.6,4489.19
7631.54,8920.32
1839.64,3005.29
3034.04,9462.89
4623.26,6039.6
4482.02,5883.65
635.418,1398.2
1247.33,1751.01
6404.56,7512.24
1762.51,1513.04
1813.56,2384.77
1276.26,2358.76
1033.93,1787.14
7347.92,8622.49
1450.01,4843.85
1724.49,2631.3
735.539,779.93
2361.83,2734.92
678.656,1871.97
743.68,1011.28
2534.45,3159.94
1342.49,1487.31
818.637,907.034
643.635,650.01
808.986,1850.39
3180.62,8313.01
701.107,873.6
2705.28,3831.78
1474.18,1786.75
2876.31,3379.38
955.213,2431.69
1382.86,1567.13
1924.56,2202.21
2421.35,3446.99
662.886,665.395
1060.86,1387.55
7455.26,5278.44
4512.15,14044.3
3569.79,3177.91
926.797,1100.26
889.677,968.755
1767.45,3067.67
822.989,1181.31
38713.6,46919.5
2126.44,2363.57
776.115,1075.61
3041.84,4310.78
11682.6,13118.4
1201.23,1433.27
3499.96,5300.97
1736.7,5361.79
986.419,1059
1457.31,1574.99
731.494,931.814
1741.26,1586.74
1391,1800.96
1860.53,4192.82
2335.03,2749.67
1315.53,2104.93
1889.97,2402.15
1666.71,2033.64
3428.58,3702.84
4099.1,5821.72
624.896,845.21
2224.31,6050.41
7512.75,8873.37
894.208,733.85
674.509,603.162
2270.64,2283.57
656.384,879.565
11006,13854.3
1339.26,1470.87
686.566,618.086
1057.74,1108.68
1349.81,3091.1
20775.9,35879.2
2482.61,6227.89
1043.89,994.893
4235.49,4433.31
2836.99,4476.19
2808.01,3435.16
16251.1,19101.3
2259.56,4345.73
716.723,645.837
1306.47,1319.58
4077.36,4541.11
3861.2,3777.13
1082.8,1123.38
2608,3983.9
1512.83,3964.83
639.411,1473.05
612.045,1639.27
780.339,1143.96
1080.4,2546.41
1921.54,6332.62
1093.76,1240.99
4149.38,4765.31
2014.57,3659.24
3501.59,8809.29
794.24,1989.38
2003.97,4486.71
2284.7,6787.99
1943.81,5848.04
1309.82,1962.42
676.838,1187.05
2097.72,2053.3
1908.53,4307.48
691.635,1884.77
10223.2,11898.6
746.163,922.035
797.21,2228.07
1762.38,617.702
821.069,2430.87
891.776,1219.25
3448.93,3927.09
2665.65,3411.53
7202.15,9049.27
5585.1,6454.04
3087.26,3836.06
2250.98,5014.89
1180.39,1682.51
10667.9,9861.84
978.022,1139.2
2234.52,3004.29
1950.11,1902.67
854.707,865.05
631.654,1226.29
5324.62,13180.5
2284.03,5546.11
794.522,2062.36
2012.03,3988.74
1016.42,1195.39
1575.55,1970.79
1517.11,1810.97
5209.93,4978.1
2190.34,2890.44
1187.89,1461.73
613.862,914.406
2975.8,3929.06
820.147,768.026
2197.71,3609.09
1738.93,3014.94
924.672,628.531
1419.39,1496.58
1610.78,1757.36
614.426,1633.23
1134.49,3803.44
2764.11,7907.51
1442.69,1849.63
801.638,3111.42
763.136,1022.39
2444.9,3079.63
1258.7,3178.37
669.005,1000.83
712.09,2075.06
770.867,858.24
7038.31,6785.23
2929.61,8639.87
735.514,792.218
839.603,939.29
33951,50972.5
797.235,2188.36
654.515,660.122
2596.22,3690.04
962.893,1095.4
800.461,873.549
6025.27,19159.6
1706.78,4366.72
2659.43,4429.98
4434,6254.49
935.91,1040.41
848.896,2684.54
1453.8,1636.89
15994.1,19615.9
910.029,941.491
3961.52,10730.4
3951.16,3991.17
1830.04,5388.67
14640.2,17787.9
2520.14,4239.46
702.182,813.005
903.578,3070.26
1094.35,3457.64
1548.21,1870.69
14753.5,12442.1
1567.97,2358.55
787.072,1723.49
1158.91,3091.28
1698.64,3668.66
892.237,994.483
823.68,1183.1
869.53,1449.6
2259.28,2378.19
720.333,1937.87
705.69,1057.61
1273.91,2895.74
11386.4,12518
29122.1,34599.7
820.864,783.667
9582,8546
2276.81,2461.39
711.04,810.701
3941.79,6437.73
1045.48,2355.07
959.206,1408.59
630.554,969.293
4092.67,7442.71
7845.58,9162.93
5326.26,12112.4
1173.84,2721.2
2790.2,2887.73
2167.17,2346.8
3444.25,6131.4
1484.13,2355.56
1627.11,3289.75
1400.47,1475.51
877.773,2147.46
1261.36,3171.2
20516.6,16766.3
1161.91,3607.78
2069.94,2252.19
1551.59,3069.82
1045.68,1130.7
3126.99,7239.32
783.923,911.437
1543.6,1769.29
778.163,1869.9
2028.03,2327.24
967.962,2073.4
3240.83,8143.13
3217.79,4997.61
740.582,1107.66
690.048,910.618
673.946,834.125
710.528,1766.86
3602.74,5456.82
915.174,1094.6
5276.9,5097.19
1110.84,1096.29
909.619,1914.09
2393.6,5682.66
647.526,2447.77
1589.45,3392.69
1301.94,1798.12
3922.76,3922.07
3216.13,2908.11
710.093,1427.61
1416.63,4095.56
1909.61,2602.98
2723.12,5612.47
2628.3,5267.89
781.568,973.542
12416.8,12880.9
1778.74,1864.6
731.648,665.754
2115,3568.61
1046.81,4156.83
709.069,1495.65
3027.25,3448.09
3685.22,4089.6
1080.47,2300.88
2303.08,3040.69
1302.68,1806.34
2686.9,2598.73
804.122,1686.53
1909.04,3967.18
1813.71,4315.31
3893.04,4413.49
2705.54,6896.69
860.902,1502.64
1040.92,3017.91
2272.87,2456.24
3839.72,3624.78
4026.24,4951.32
2583.48,3208.81
7532.47,7091.2
4879.95,6363.37
976.435,2230.45
19351.6,22259.1
1509.81,3989.38
1350.66,2065.56
1299.2,3064.99
984.038,1316.97
919.142,1221.22
990.669,1568.44
3028.48,3265.59
687.898,2451.56
2403.94,3756.95
12905.5,13019.8
23636.3,34062
907.878,1256.63
1650.53,4712.91
1568,2307.15
2609.2,4748.26
1606.96,1954.69
778.726,979.61
16940.5,19957
765.466,1287.32
2355.71,2802.12
734.669,1955.33
910.541,2237.44
859.136,2150.43
1660.49,5249.97
3764.81,3968.51
3705.42,3701.94
789.504,2127.41
843.034,1302.25
1498.96,3127.53
2694.68,2852.43
2787.25,7150.16
998.886,2240.54
1585.08,2498.48
1526.4,1705.24
745.754,2568.83
1334.4,1654.09
2149.94,2808.47
2498.25,4080.95
1220.12,1343.44
1297.38,2942.82
867.738,873.395
9165.06,9443.33
667.802,998.502
1927.86,2130.38
5064.45,5602.41
7075.66,7100.47
4588.88,8366.13
1302.89,1617.74
833.843,1408.64
1366.86,4156.98
975.898,1735.76
1660.65,1994.65
1488.15,1553.77
1819.7,4128.2
799.539,1526.84
4355.94,5007.67
687.872,1487.23
7550.67,8395.19
1019.24,2605.8
651.622,807.834
1014.68,1900.44
648.627,724.864
3463.32,4273.95
837.018,996.07
2825.22,3160.93
2220.49,2371.51
2740.1,4618.62
977.306,2355.1
2193.74,7540.15
1266.48,1149.24
1008.44,1198.8
8434.51,10229.9
9528.55,12486.3
1279.33,1386.01
2230.91,3014.27
5371.62,4282.65
25508.8,22261.9
19728,17506
8115.17,6624.23
816.358,957.824
837.811,1030.73
949.888,1153.95
730.803,812.826
24992.3,31079.6
6740.61,7262.82
789.837,1174.78
993.587,2365.8
2939.03,7322.88
924.006,1872.03
1014.2,2395.21
1105.82,1921.13
10807.3,10211.9
2581.99,2829.21
642.33,886.682
1834.83,4790.22
1224.17,1187.76
2385.15,2887.55
1844.43,2392.86
1252.74,1562.98
1871.87,5425.41
1013.58,2615.78
879.283,2589.52
2267.78,2545.77
4873.7,5048.83
1923.02,2361.83
3812.04,4378.19
1154.51,3549.13
660.326,759.066
864.333,1195.85
11637.5,13153.9
3447.96,4059.67
1170.92,1380.92
2060.95,5620.97
684.339,2013.75
2352.36,3291.83
1903.69,4553.42
931.84,2649.91
3195.14,3601.13
1394.87,1536.03
974.003,2796.62
1694.11,1836.72
1591.6,1534.72
1321.01,3273.27
1299.92,3218.02
4668.39,14909.1
1344.67,1422
1448.17,3369.11
686.003,2283.03
1128.4,1175.58
4085.45,11048.9
2060.9,2381.03
711.322,2572.77
3675.19,4619.93
1801.86,6137.63
619.008,1673.47
3072.74,8165.38
788.941,2168.83
1546.29,3157.84
1428.2,1673.73
1033.37,3720.35
7507.74,7645.52
6117.89,6526.69
775.936,1678.03
1689.16,4045.36
1234.36,1559.99
2228.15,3497.65
952.653,2375.37
25327.3,16143.9
2231.83,2477.21
1378.84,1355.34
1314.94,1844.92
1103.64,2940.83
2457.4,3140.48
3379.81,3967.67
1582.16,2088.63
944.845,989.44
868.403,2893.98
1433.22,1731.92
4426.8,9989.68
2054.84,2191.56
7311.59,8161.66
675.968,1629.41
715.085,1595.78
1662.64,2072.17
13552.2,13888.8
2257.66,3097.6
1005.77,1994.21
1480.35,1769.57
13037.1,14803.8
1270.81,1270.71
1778.82,2018.61
9374.31,10210.5
1649,5047.94
889.882,944.154
3180.36,4432.28
3330.64,4877.93
1742.69,1882.44
1051.14,1349.86
1625.78,5083.96
3223.35,2927.46
2058.11,6449.77
2681.42,7307.01
1268.76,3047.19
612.992,682.701
958.95,2558.77
646.477,1824.33
636.288,1983.85
942.746,2616.7
2965.66,3515.49
2220.75,2110.49
723.814,2220.34
2651.26,4015.87
4039.48,4885.43
1147.78,2894.92
3650.18,5120.08
961.459,2800.03
1629.49,3924.15
858.931,1026.02
781.158,899.098
7345.89,8629.02
2076.26,2415.03
838.733,2652.26
2917.94,8102.37
943.36,1783.76
2089.57,5292.42
2214.68,6032.38
824.499,760.653
857.574,1786.09
779.571,2007.35
1288.27,2649.06
971.034,1889.48
640.614,799.949
994.97,1039.16
4493.18,4546.35
642.662,763.443
1809.64,2318
6144.36,8060.8
3872.69,4478.28
1131.62,1430.71
1743.87,2777.7
4425.16,12175.4
1882.6,1826.07
1719.81,5597.7
1313.59,1278.8
2979.46,4317.39
2666.47,6927.08
1101.88,1307.39
958.003,1159.73
1264.97,3249.82
2823.07,3671.65
7362.97,8499.94
2164.92,4529.59
1532.31,1472.92
1834.16,5447.78
2182.63,2920.06
5380.92,15582.8
769.024,884.71
4996.74,4315.72
2033.38,2492.75
2797.57,3092.04
1708.62,1725.95
625.536,890.65
723.302,1787.42
5439.21,5601.51
1825.51,5018.11
1036.98,3195.37
3935.51,9379.17
649.6,1800.83
5396.51,7473.66
734.694,2456.29
1263.62,1413.04
774.528,2434.89
4323.66,8984.17
2092.8,5275.19
5462.27,14356.8
1651.12,2041.75
1414.78,3458.07
770.432,1217.66
4679.01,5396.84
2171.37,2408.52
1543.42,4080.69
7714.79,7944.58
960.102,1533.06
793.421,2362.62
838.707,1867.11
2697.91,3243.8
13526.5,16257.6
1179.72,3515.55
2295.4,7294.85
1160.24,2196.81
890.47,2597.56
2279.76,2776.22
1347.43,3714.51
14256.3,18587.2
1273.96,2321.1
671.181,1867.75
1708.54,2409.86
779.827,2243.35
838.093,2248.01
2524.03,4448.54
2240.31,2459.08
14159.3,19133.5
1995.96,2042.93
681.446,833.92
773.325,1639.65
716.646,2058.39
750.413,1775.82
757.504,1739.6
835.84,941.645
1074.02,1625.24
672.845,1889.74
1211.29,1293.85
621.747,873.472
954.368,2191.82
3134.11,3983.72
1948.77,2958.41
10306.7,10102.9
871.808,1775.8
987.29,2805.53
914.176,2025.47
889.446,2202.04
731.725,1665.87
1867.06,1962.47
2470.22,2502.22
1443.61,3346.28
810.061,1788.75
1873.2,1919.1
1172.12,3571.28
1263.26,3081.52
2420.99,3183.13
1044.4,1137.66
792.397,1961.57
56839.6,50451.2
1225.09,1808.49
1006.18,2405.17
2417.59,3406.64
1187.53,1504.49
2001.31,5140.04
1253.99,3432.93
722.611,2033.2
685.21,2534.71
1091.81,2443.7
5136.95,5451.52
1163.06,2467.89
1005.06,1968.64
2724.58,6254.21
968.883,965.734
1512.91,2806.89
969.293,1455.56
1596.95,3547.96
1694.72,2359.88
634.65,1693.59
1054.23,421.325
2559.59,3521.05
2552.42,4627.92
981.555,911.974
2256.08,5238.07
1850.34,4301.11
7637.71,7782.37
659.584,837.504
12165.3,13722.6
1339.72,2579.2
4448.59,6157.26
765.85,1065.98
802.15,2022.86
1433.09,1802.19
10168.2,11613.3
2935.76,3095.55
1111.45,1166.77
842.496,2284.8
2381.77,5441.43
13044.7,15586.1
1509.4,1987.07
1269.27,4197.5
8623.69,9738.32
1556.76,4584.24
693.453,968.781
4436.48,13987.5
8256.74,8292.45
1859.4,1365.66
5386.88,3952.18
1500.49,5402.16
732.211,1108.56
1387.78,1784.42
2492.8,5025.31
2392.5,6406.35
994.099,3319.71
713.139,707.507
665.779,1003.21
702.771,1285.71
1175.68,3653.07
713.779,736.512
1900.01,4706.48
1238.63,1519.44
1309.67,1224.93
1537.89,1474.94
1450.32,1572.66
2229.3,2113.61
1245.75,3410.87
3192.14,3378.61
657.792,1939.81
14245.5,17429.8
1511.27,3863.68
1234.12,3232.26
4618.39,5663.62
649.37,647.654
16062.5,15955.6
11122.2,7376.2
33350.1,37512.8
11991.9,23520.8
9967.67,11469.1
700.442,882.15
1866.39,4873.96
64929.7,54795.2
1510.6,3475.05
1586.97,3226.14
2241.61,2318.57
2737.54,7660.98
8374.99,8296.47
8332.19,9656.78
641.613,595.354
2658.74,3541.43
1715.58,3970.38
1039.16,2599.91
855.117,3599.28
2801.2,6392.63
1174.27,1241.42
10481.1,10565.4
734.413,831.667
1136.9,1319.55
2724.56,5772.08
686.106,788.506
963.789,1043.84
2211.79,2349.44
39758.3,43959.6
3765.4,4531.07
1527.91,1740.47
1300.89,2468.74
1364.35,2962.33
2047.56,2991.59
