"Comp-FL03-A :: FITC-A","Comp-FL15-A :: mCherry-A"
58986,47688.7
26609.5,88363.7
35053.2,140506
11859.3,25691
11363.6,36294.6
93166,71346.5
39103.1,70815.7
121029,172669
28786.5,41489.8
11675.4,52983.9
16013.1,46763.7
25245.1,78541.8
50346.9,93035.7
25043,67563.7
85627.9,94872.7
103793,98964.2
187997,178412
54495,128759
121200,166375
24775.5,152459
44976.2,38727.3
24967.3,68296.7
85671.3,124603
43295.7,57263.5
20752.3,126790
45297.6,62231.4
104177,84787.3
16305.8,55553.9
45131.3,38977.7
78584.7,122504
15364.8,19915.2
55935.8,100233
40509.9,27423.1
15206.9,49585.7
16006.4,77051.3
75212.4,39864.4
20700.9,110450
35746.2,39539.1
46328.5,68392.4
12363.3,46760.1
25709.1,24203.7
31395.5,160101
65344.7,91433.1
15642.6,23671.3
22669.6,24412.4
16652.2,119768
54709.7,40286.8
14438.5,71020.3
82742.4,52317.4
77485.6,83720.9
21117.2,34893.5
25888.4,43583
16481.1,84720.4
41359.2,84081.3
25020.9,29455
19035.3,76596.5
79776.7,71451
63273.6,91453.1
24148.7,23223.6
57670.6,66266.5
80691.4,103162
43509.2,68042.6
17594.4,35020
32126.6,44338.7
47339,30947.5
13484,99691
30415.9,158428
14373.3,72204.3
39540.7,42394
112922,106794
21776.2,65012.5
44587,52886.7
35946.2,32403.7
54080.3,71881.5
13910.3,77400.3
37980.3,87155.9
30781.4,60065.2
94567.3,160277
46391.7,53045.4
23019.7,17545.5
33028.7,22456.1
67334.3,105466
23715.3,130652
40930,51151.8
30230.6,139378
69793.2,92097.4
15553.2,55580.4
30105.4,60790.6
30559.4,36040.1
54649.3,63681.2
67101.6,113359
43562.7,28421.5
25780.5,86876.9
128555,167310
134452,124539
48647.3,102406
66104.5,54219.4
29769,79812.4
36270.5,143887
93274.2,66151.4
156583,119038
96109.2,149309
64289.6,108895
55982.9,57900.7
16180.4,63489.4
52235.7,102841
17238.3,37769.1
38463.2,28032.1
56240.1,127532
55265.2,49663.8
47393.5,120576
38192.6,57307.6
18716.5,23461.9
98112.3,104479
83417.6,78392.4
52262.3,45862.1
104674,134933
96371.8,53625.6
75722.6,56811.7
40745.9,41697.1
18943.4,40041.6
22257.5,19211.2
26216.9,28789.7
25335.2,37089.4
40509.1,47730.8
124355,116433
71584.8,33888.8
46566.4,65146
57041.2,33646.4
29485.7,61483.3
20269.8,50828.5
61072.6,130082
114474,185662
12564,53186.7
38894,21083.6
22931.6,51485.5
40982.6,30635.2
14061.9,45029.9
16342.4,23709.6
30312.9,24929.7
50190.5,82431.1
169853,145582
19877.1,54080.6
41467.7,49023.1
24682.4,19733.5
47039.2,87880.9
44157.1,43441.5
14114.4,25482
48869.1,64814
54817.2,107749
109506,138943
15859,32188.6
24416.2,83928.4
104885,101645
13676.7,92630.8
36320.7,52435.2
49501.6,55682.2
30671.7,101224
47176.8,92918.8
196075,197244
185953,155569
76807.9,135641
77101.1,63987.6
24382.4,19941.3
26031.8,49022.3
106716,82414.9
38858.5,96434.1
21068.2,29556.8
12763.4,86403.1
36817.2,113772
70354.8,95266.1
75489.9,66104.2
33277.7,121668
62808.2,83889.7
38439.2,89274.5
155494,174976
35068.5,105452
158814,173657
75185.2,101079
37011.1,17672.6
72865.3,44667
45874.9,51164.1
24865.8,63773.1
19492.9,58150.2
42361.6,89180.9
36268,30723.8
28447.1,30105.8
29240.5,49181.6
37681.5,17965.3
55443.8,90049.5
51419.4,77559.5
52118.1,64064.2
35176.7,31994.4
110791,133029
31021.3,71972.7
99910.8,136226
49169.2,81315.5
72336,140050
36267.6,37701.4
66318.9,81898.4
21985.9,121590
10954.4,54268.6
38771.8,25578.1
60368.5,63571.2
63175.2,90833.4
62223.6,150055
50677.8,72817.9
12205.2,67557
93936.5,92790.2
100367,120931
110272,121957
12696.5,29710
40090.9,157254
65225.2,45148.3
56099.1,38616.5
47787,65073.6
13342,59372.7
30165.8,83860.5
